@relation data/CONTACT_features.arff
@attribute contactnotessometimescontainemailattachments numeric
@attribute thewordrememberissometimesincludedinthebodyorsubject numeric
@attribute contactnotesoftenincludenamesandphonenumbers numeric
@attribute emailstooneselfusuallyhavethesamesenderandreceiver numeric
@attribute thewordcontactisoftenpresentinanote numeric
@attribute emailsmayhaveaphonenumberoremailaddresswrittenwithinthem numeric
@attribute emailsmayhaveanattachment numeric
@attribute emailsareusuallytoandfromthesameaddress numeric
@attribute emailslikelyarenotsenttosomeoneelse numeric
@attribute phrasessuchasdontforgetrememberandreminderareoftenused numeric
@attribute messagecontainsphonenumber numeric
@attribute messagecontainscontact numeric
@attribute messagecontainsremind numeric
@attribute messagecontainsreminder numeric
@attribute senderissameasrecipient numeric
@attribute anemailfromyourownemailaddresswithanattachment numeric
@attribute anemailfromyourselfaskingyoutoremembersomething numeric
@attribute anemailwiththesamesenderandreceivercouldbethiscategory numeric
@attribute emailswithcontactasthesubject numeric
@attribute theseemailsmayhavethesametoandfromemailaddresses numeric
@attribute itsometimeshassomeonesnamewithans numeric
@attribute itsometimeshassomeonesnamewithjustoneotherword numeric
@attribute thesubjectmightbeveryshort numeric
@attribute itsaysthewordcontact numeric
@attribute itoftensayssomeonesfirstandlastname numeric
@attribute label {POSITIVE,NEGATIVE}
@data
0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,POSITIVE
0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NEGATIVE
1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,POSITIVE
1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,NEGATIVE
0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,POSITIVE
1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NEGATIVE
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,POSITIVE
