@relation data/EVENT_features.arff
@attribute isused numeric
@attribute coffeeisused numeric
@attribute festivalisused numeric
@attribute meetupisused numeric
@attribute toisnotinitechcorpcom numeric
@attribute emailstofriendsusuallyincludequestionmarks numeric
@attribute emailstofriendsusuallyincludeatimeordateorboth numeric
@attribute emailstofriendsusuallystartwithanameorgreetingorboth numeric
@attribute messagesometimescontainsexclamationmarks numeric
@attribute messagecontainsfun numeric
@attribute messagecontainslets numeric
@attribute messagesometimesstartswithhey numeric
@attribute messagesometimesstartswithhi numeric
@attribute emailfromacontactwithaonewordsubject numeric
@attribute ifanemailmentionsfreeinthemessage numeric
@attribute emailfromacontacttoattendaconcert numeric
@attribute emailfromacontacttomeetthemsomewhere numeric
@attribute emailwithanattachmentandeventasthesubject numeric
@attribute therearesometimeswordslikeconcertorfestivalorevent numeric
@attribute theyarelesslikelytoincludesomeonesname numeric
@attribute theymightendwithaquestionmark numeric
@attribute therearesometimeswordslikemeetandhangout numeric
@attribute theysometimeshaveanexclamationmarkattheend numeric
@attribute messagesthatcontainweekenddatessaturdayfridaynight numeric
@attribute emailsfrommereferringtomeet numeric
@attribute messagescontainingconcertsorsportsevents numeric
@attribute referencestobarsordinner numeric
@attribute label {POSITIVE,NEGATIVE}
@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NEGATIVE
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NEGATIVE
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NEGATIVE
0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,POSITIVE
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,POSITIVE
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NEGATIVE
