A1XUZFDVKP95VC	MEETING	4__very_useful	from amy@initech-corp.com
A1XUZFDVKP95VC	MEETING	4__very_useful	from igor@initech-corp.com
A1XUZFDVKP95VC	MEETING	4__very_useful	from john@initech-corp.com
A1XUZFDVKP95VC	MEETING	4__very_useful	from mary@initech-corp.com
A1XUZFDVKP95VC	MEETING	4__very_useful	from mike@initech-corp.com
A1XUZFDVKP95VC	EVENT	2__perhaps_useful	! is used
A1XUZFDVKP95VC	EVENT	2__perhaps_useful	coffee is used
A1XUZFDVKP95VC	EVENT	2__perhaps_useful	festival is used
A1XUZFDVKP95VC	EVENT	2__perhaps_useful	meet up is used
A1XUZFDVKP95VC	EVENT	3__probably_useful	to is not @initech-corp.com
A1XUZFDVKP95VC	HUMOR	2__perhaps_useful	"uses many ""!"""
A1XUZFDVKP95VC	HUMOR	3__probably_useful	"has ""youtube"" in the email"
A1XUZFDVKP95VC	HUMOR	3__probably_useful	has an attachment
A1XUZFDVKP95VC	HUMOR	3__probably_useful	"uses the word ""OMG:"
A1XUZFDVKP95VC	HUMOR	3__probably_useful	"uses the word ""funny"""
A1XUZFDVKP95VC	REMINDER	1__probably_not_useful	"has word ""meeting"""
A1XUZFDVKP95VC	REMINDER	1__probably_not_useful	title is all caps
A1XUZFDVKP95VC	REMINDER	2__perhaps_useful	has an attachment
A1XUZFDVKP95VC	REMINDER	3__probably_useful	"has word ""reminder"" "
A1XUZFDVKP95VC	REMINDER	3__probably_useful	to and from are same address
A1XUZFDVKP95VC	POLICY	3__probably_useful	has words new and policy
A1XUZFDVKP95VC	POLICY	4__very_useful	can include alldeptemployees@initech-corp.com
A1XUZFDVKP95VC	POLICY	4__very_useful	has .pdf attachments
A1XUZFDVKP95VC	POLICY	4__very_useful	has office policy
A1XUZFDVKP95VC	POLICY	4__very_useful	has the name Mary in email
A234SA9RO156TR	EMPLOYEE	1__probably_not_useful	Requests sometimes contain exclamations and question marks.	"getPhraseMention(tt:email, merge(""!"",""?""))"
A234SA9RO156TR	EMPLOYEE	2__perhaps_useful	Requests sometimes include attachments	"!stringEquals(tt:attachment,NULL)"
A234SA9RO156TR	EMPLOYEE	2__perhaps_useful	The word need is often in the body of the message.	"getPhraseMention(tt:body,""need"")"
A234SA9RO156TR	EMPLOYEE	4__very_useful	Requests will usually come from initech-corp.com senders	"stringMatch(tt:sender, ""initech-corp.com"")"
A234SA9RO156TR	EMPLOYEE	4__very_useful	The words please and thanks are often in the body of the email	"and (getPhraseMention(tt:body, ""please"") , getPhraseMention(tt:body, ""thanks""))"
A234SA9RO156TR	MEETING	2__perhaps_useful	Meeting requests sometimes include file attachments.	"!stringEquals(tt:attachment,NULL)"
A234SA9RO156TR	MEETING	3__probably_useful	Meeting requests often mention the email receiver by name.	
A234SA9RO156TR	MEETING	3__probably_useful	The word schedule will often appear in the body of the email.	"getPhraseMention(tt:body,""schedule"")"
A234SA9RO156TR	MEETING	4__very_useful	Meeting requests will often come from initech-corp.com senders.	"stringMatch(tt:sender, ""initech-corp.com"")"
A234SA9RO156TR	MEETING	4__very_useful	The word meeting will often appear in the subject of the email.	"getPhraseMention(tt:subject,""meeting"")"
A234SA9RO156TR	EVENT	1__probably_not_useful	Emails to friends often contain an activity in the subject.	unknown
A234SA9RO156TR	EVENT	1__probably_not_useful	Emails to friends sometimes have email attachments	"!stringEquals(tt:attachment,NULL)"
A234SA9RO156TR	EVENT	3__probably_useful	Emails to friends usually include question marks	"getPhraseMention(tt:email, ""?"")"
A234SA9RO156TR	EVENT	4__very_useful	Emails to friends usually include a time or date or both.	"or( getCatInstance(tt:email, ne:DATE) , getCatInstance(tt:email, ne:TIME) )"
A234SA9RO156TR	EVENT	4__very_useful	Emails to friends usually start with a name or greeting or both.	"beginWith(tt:body, ne:PERSON )"
A234SA9RO156TR	REMINDER	1__probably_not_useful	Reminder emails usually include commands rather than questions.	"!getPhraseMention(tt:email , ""?"")"
A234SA9RO156TR	REMINDER	2__perhaps_useful	Reminders sometimes have attachments	"!stringEquals(tt:attachment,NULL)"
A234SA9RO156TR	REMINDER	3__probably_useful	The body often has the word make in it.	"getPhraseMention(tt:body,""make"")"
A234SA9RO156TR	REMINDER	3__probably_useful	The words remember and reminder often appear in the body	"getPhraseMention(tt:body, merge(""remember"",""reminder""))"
A234SA9RO156TR	REMINDER	4__very_useful	An email to oneself will often have the same sender and receiver	"stringEquals( tt:sender, tt:recipient)"
A234SA9RO156TR	CONTACT	2__perhaps_useful	Contact notes sometimes contain email attachments	"!stringEquals(tt:attachment,NULL)"
A234SA9RO156TR	CONTACT	2__perhaps_useful	The word remember is sometimes included in the body or subject.	"getPhraseMention( merge(tt:body, tt:subject),""remember"")"
A234SA9RO156TR	CONTACT	3__probably_useful	Contact notes often include names and phone numbers	"and( getCatInstance(tt:email, ne:PERSON) , getCatInstance(tt:email, ne:NUMBER) )"
