@relation data/REMINDER_features.arff
@attribute hasanattachment numeric
@attribute haswordreminder numeric
@attribute toandfromaresameaddress numeric
@attribute reminderssometimeshaveattachments numeric
@attribute thebodyoftenhasthewordmakeinit. numeric
@attribute thewordsrememberandreminderoftenappearinthebody numeric
@attribute anemailtooneselfwilloftenhavethesamesenderandreceiver numeric
@attribute messagecontainsphonenumber numeric
@attribute messagecontainscontact numeric
@attribute messagecontainsremind numeric
@attribute messagecontainsreminder numeric
@attribute senderissameasrecipient numeric
@attribute oftentheemailwillcontainthewordreminderorremember numeric
@attribute usually.thebodyoftheemailwontcontainanysalutations. numeric
@attribute thesenderwillusuallyhavethesameaddressastherecipient. numeric
@attribute mostreminderemailswillnothaveanattachment. numeric
@attribute someemailreminderswillhavecontactdetailsinthemessage. numeric
@attribute someemailreminderswillhaveadateortimelistedinthesubject. numeric
@attribute someemailswillhaveatextlikeremindernotetoselfordothis. numeric
@attribute mostemailstooneselfwillhavethesameaddressintoandfrom. numeric
@attribute theysoundmorepersonal numeric
@attribute theysoundmoreurgent numeric
@attribute theyusemoreinformallanguage. numeric
@attribute theyusewordslikepickuporpay. numeric
@attribute theyaremorelikelytosayreminderorremember. numeric
@attribute messagestomyselfthatcontainatimeanddate. numeric
@attribute themailsusuallycontainbillorurgentineitherbodyortext. numeric
@attribute themessagesthathavepickuporbuyinitsbody. numeric
@attribute mailtomyselfcontainingmeetinginthetext. numeric
@attribute messagestomyselfcontainingreminderorrememberinsubject. numeric
@attribute label {POSITIVE,NEGATIVE}
@data
0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,POSITIVE
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NEGATIVE
0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,POSITIVE
0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,POSITIVE
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NEGATIVE
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,POSITIVE
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,NEGATIVE
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NEGATIVE
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
